Date,Gold_Price,SPY_Close,Sensex_Close
2020-01-02,1524.5,300.31010039040234,41626.64
2020-01-03,1549.199951171875,299.1546226371956,41464.61
2020-01-06,1566.199951171875,299.2379117011673,40676.63
2020-01-07,1571.800048828125,299.06222335747646,40869.47
2020-01-08,1557.4000244140625,301.13280757417783,40817.74
2020-01-09,1551.699951171875,302.0108834726726,41452.35
2020-01-10,1557.5,302.68559471716,41599.72
2020-01-13,1548.4000244140625,303.14777406042305,41859.69
2020-01-14,1542.4000244140625,303.75782743480147,41952.63
2020-01-15,1552.0999755859375,304.1275443973872,41872.73
2020-01-16,1549.0,305.8838806152344,41932.56
2020-01-17,1558.800048828125,307.0484879829405,41945.37
2020-01-21,1556.4000244140625,307.04853452646114,41323.81
2020-01-22,1555.300048828125,307.7602110293039,41115.38
2020-01-23,1564.5999755859375,307.0392875200072,41386.4
2020-01-24,1571.0999755859375,307.3720258999948,41613.19
2020-01-27,1576.800048828125,300.5226399031406,41155.12
2020-01-28,1569.199951171875,303.04608396649,40966.86
2020-01-29,1569.800048828125,303.76711982764965,41198.66
2020-01-30,1583.5,303.1015862851458,40913.82
2020-01-31,1582.9000244140625,302.41762404363953,40723.49
2020-02-03,1577.199951171875,301.4839663014634,39872.31
2020-02-04,1550.4000244140625,305.04278044043446,40789.38
2020-02-05,1557.800048828125,307.8897027555807,41142.66
2020-02-06,1565.0999755859375,308.9064150643585,41306.03
2020-02-07,1568.5999755859375,308.72160234812134,41141.85
2020-02-10,1574.699951171875,309.424116359804,40979.62
2020-02-11,1565.5999755859375,311.5223950552163,41216.14
2020-02-12,1567.4000244140625,312.10476247413993,41565.9
2020-02-13,1575.0999755859375,312.5391283658209,41459.79
2020-02-14,1582.699951171875,312.17864088676066,41257.74
2020-02-18,1600.0,312.12318842131,40894.38
2020-02-19,1607.5,313.42652867761126,41323.0
2020-02-20,1616.5999755859375,313.0197848145976,41170.12
2020-02-24,1672.4000244140625,308.3241540854473,40363.23
2020-02-25,1646.9000244140625,300.05126977938426,40281.2
2020-02-26,1640.0,294.0429423659753,39888.96
2020-02-27,1640.0,287.98854465077966,39745.66
2020-02-28,1564.0999755859375,275.3528154279035,38297.29
2020-03-02,1592.300048828125,285.7701551771477,38144.02
2020-03-03,1642.0999755859375,290.0961399426762,38623.7
2020-03-04,1641.0999755859375,289.41204723914103,38409.48
2020-03-05,1666.4000244140625,285.13237292520694,38470.61
2020-03-06,1670.800048828125,276.1754323026294,37576.62
2020-03-09,1674.5,262.68933850190564,35634.95
2020-03-11,1641.4000244140625,260.60947715989346,35697.4
2020-03-12,1589.300048828125,246.48552399413035,32778.14
2020-03-13,1515.699951171875,250.94081471913591,34103.48
2020-03-16,1485.9000244140625,237.4639073134962,31390.07
2020-03-17,1524.9000244140625,236.78916627337,30579.09
2020-03-18,1477.300048828125,229.57926720176667,28869.51
2020-03-19,1478.5999755859375,228.66418616779157,28288.23
2020-03-20,1484.0,227.30316138354544,29915.96
2020-03-23,1567.0,213.55167566820612,25981.24
2020-03-24,1660.199951171875,226.9591225678549,26674.03
2020-03-25,1632.300048828125,238.3489062463398,28535.78
2020-03-26,1650.0999755859375,244.34594606435087,29946.77
2020-03-27,1623.9000244140625,242.49571694001105,29815.59
2020-03-30,1622.0,244.00191416058755,28440.32
2020-03-31,1583.4000244140625,244.8387600336509,29468.49
2020-04-01,1578.199951171875,239.5668944478358,28265.31
2020-04-03,1633.699951171875,235.53170483848072,27590.95
2020-04-07,1664.800048828125,255.71721535242648,30067.21
2020-04-08,1665.4000244140625,256.6190654959148,29893.96
2020-04-09,1736.199951171875,261.4539497078501,31159.62
2020-04-13,1744.800048828125,258.02304526223554,30690.02
2020-04-15,1727.199951171875,264.0015221103493,30379.81
2020-04-16,1720.4000244140625,260.3660304941722,30602.61
2020-04-17,1689.199951171875,267.12553110795915,31588.72
2020-04-20,1701.5999755859375,266.6514537979473,31648.0
2020-04-21,1678.199951171875,258.51577762123253,30636.71
2020-04-22,1728.699951171875,261.26791732240457,31379.55
2020-04-23,1733.300048828125,264.0015611750324,31863.08
2020-04-24,1723.5,263.778327778635,31327.22
2020-04-27,1711.9000244140625,268.0273979884122,31743.08
2020-04-28,1710.5,270.93769604489376,32114.52
2020-04-29,1703.4000244140625,274.1733495261763,32720.16
2020-04-30,1684.199951171875,272.7228449445646,33717.62
